name,address,date,latitude,longitude,trackingNumber
Prescott Public Library,215 E Goodwin St Prescott AZ 86303-3911,6/17/2024,34.5396077,-112.4666338,{9455109105156578367694}
Salt Lake City Public Library,210 E 400 S Salt Lake City UT 84111-2804,6/17/2024,40.7600464,-111.8845724,{9455109105156080908330}
University of Delaware Library,181 S College Ave Newark DE 19717-5201,6/17/2024,39.6779685,-75.7529568,{9455109105156578350115}
Rhode Island School of Design,20 Washington Pl Providence RI 02903-1358,6/17/2024,41.8271263,-71.40919889999999,{9455109105156080907531}
University of Arkansas Libraries,365 N McIlroy Ave Fayetteville AR 72701-4002,6/17/2024,36.0686886,-94.1738218,{9455109105156578367533}
Twin Falls Public Library,201 4th Ave E Twin Falls ID 83301-6313,6/17/2024,42.5571859,-114.4652699,{9455109105156080906121}
St Louis Public Library,1415 Olive St Saint Louis MO 63103-2389,6/17/2024,38.630604,-90.20077049999999,{9455109105156578365072}
Wheaton College,421 N Chase St Wheaton IL 60187-4212,6/17/2024,41.8691785,-88.09709269999999,{9455109105156578364907}
DeSales University,2755 Station Ave Center Valley PA 18034-9568,6/17/2024,40.5428116,-75.37634589999999,{9455109105156578366482}
Waldron Island School Library,1 School Road Waldron WA 98297,6/17/2024,48.7015912,-123.0717401,{9455109105156578362347}
Mid-Continent Public Library,15616 E US Highway 24 Independence MO 64050-2057,6/17/2024,39.1124448,-94.39209249999999,{9455109105156578359378}
Amberton University Library,13601 Lyndon B Johnson Fwy 27/DAL (Texpress) Garland TX 75041-4707,6/17/2024,32.8598998,-96.6530307,{9455109105156578367083}
Harris County Public Library System,5749 South Loop E Houston TX 77033-1604,6/17/2024,29.6891899,-95.3352561,{9455109105156578365102}
Libraries of Stevens County,PO Box 500 Kettle Falls WA 99141-0500,6/17/2024,48.6107354,-118.0558218,{9455109105156578363702}
Blanding Branch Library,25 W 300 S Blanding UT 84511-3829,6/17/2024,37.6208173,-109.4784645,{9455109105156578363566}
University of Scranton,800 Linden St Scranton PA 18510-4501,6/17/2024,41.4065148,-75.6569532,{9455109105156578361081}
Texas State University-San Marcos,601 University Dr San Marcos TX 78666-4684,6/17/2024,29.8881262,-97.93845549999999,{9455109105156578354960}
Jefferson County Library System,620 Cedar Ave Port Hadlock WA 98339-5001,6/17/2024,48.032557,-122.7724272,{9455109105156578353062}
Trinity University,607 Kings Ct San Antonio TX 78212-5317,6/17/2024,29.4586314,-98.4850968,{9455109105156578354083}
Norwegian Univ Science & Technology,S. P. Andersensvei 11 Trondheim Tr�ndelag 7031,6/17/2024,63.409417,10.4097132,{UA932706633US}
"California State University, Stanislaus",1 University Cir Turlock CA 95382-0299,6/18/2024,37.5237782,-120.8558907,{9455109105156081147226}
Pollard Memorial Library - ILL,401 Merrimack St Lowell MA 01852-5907,6/18/2024,42.6466147,-71.3148868,{9455109105156081146816}
New York Public Library,"11 W 40th St, Frnt South Court Mezzanine New York NY 10018-2668",6/18/2024,40.7526601,-73.982693,{9455109105156578571831}
Northwest University,PO Box 579 Kirkland WA 98083-0579,6/18/2024,47.67953809999999,-122.2095804,{9455109105156081144874}
Yakima Valley Libraries,102 N 3rd St Yakima WA 98901-2759,6/18/2024,46.6044395,-120.5043332,{9455109105156578564505}
Massachusetts Library System,"33 Boston Post Rd W, Ste 400 Marlborough MA 01752-1829",6/18/2024,42.3409769,-71.5831631,{9455109105156081146731}
Missoula Public Library,455 E Main St Missoula MT 59802-4799,6/18/2024,46.8697898,-113.989889,{9455109105156578566998}
Las Vegas-Clark County Library,7060 W Windmill Ln Las Vegas NV 89113-4678,6/18/2024,36.0423748,-115.2459406,{9455109105156081144836}
Buffalo & Erie County Public Library,1 Lafayette Sq Buffalo NY 14203-1887,6/18/2024,42.88527380000001,-78.8720883,{9455109105156081144799}
Liberty Lake Municipal Library,23123 E Mission Ave Liberty Lake WA 99019-8514,6/18/2024,47.6717453,-117.0941804,{9455109105156081137616}
Orcas Island Library,500 Rose St Eastsound WA 98245-9453,6/18/2024,48.6967412,-122.9043832,{9455109105156081137562}
Wells County Public Library,200 W Wa St Bluffton IN 46714-1999,6/18/2024,40.7383854,-85.1732907,{9455109105156081144461}
University of Montana,32 Campus Dr Missoula MT 59812-9936,6/18/2024,46.85865339999999,-113.983892,{9455109105156081144423}
Queens Library,8911 Merrick Blvd Jamaica NY 11432-5242,6/18/2024,40.7077706,-73.79511339999999,{9455109105156081144249}
Orange County Public Libraries,"1501 E Saint Andrew Pl, Fl 2nd Santa Ana CA 92705-4928",6/18/2024,33.72358980000001,-117.8495998,{9455109105156578557293}
Pikes Peak Library District ILL,PO Box 1579 Colorado Springs CO 80901-1579,6/18/2024,38.8543097,-104.7557795,{9455109105156081143457}
Phoenix Public Library,1221 N Central Ave Phoenix AZ 85004-1867,6/18/2024,33.4627882,-112.0729105,{9455109105156578523328}
Eastern Illinois University,600 Lincoln Ave Charleston IL 61920-3099,6/18/2024,39.4798444,-88.175629,{9455109105156578524462}
San Juan Island Library,1010 Guard St Friday Harbor WA 98250-9240,6/18/2024,48.5366242,-123.030387,{9455109105156081137470}
Springfield Greene County,4653 S Campbell Ave Springfield MO 65810-1723,6/20/2024,37.1303936,-93.29868909999999,{9455109105156578944765}
Gooding Public Library,306 5th Ave W Gooding ID 83330-1205,6/20/2024,42.9411547,-114.7159888,{9455109105156578944307}
Western Illinois University,1 University Cir Macomb IL 61455-1390,6/20/2024,40.4667444,-90.68510889999999,{9455109105156578944239}
San Jose Public Library,150 E San Fernando St San Jose CA 95112-3580,6/20/2024,37.3354953,-121.8850749,{9455109105156578943782}
Airway Heights Corrections Center,PO Box 1899 11919 W Sprague Ave Airway Heights WA 99001-1899,6/20/2024,47.6567701,-117.5967878,{9455109105156081505170}
McAllen Public Library,4001 N 23rd St McAllen TX 78504-4104,6/20/2024,26.2419027,-98.24231999999999,{9455109105156578943584}
Delaware County Library System,"340 N Middletown Rd, Bldg 19 Fair Acres Media PA 19063-5505",6/20/2024,39.9183213,-75.4430824,{9455109105156081504807}
The Citadel,1 Avenue Of Remembrance Charleston SC 29409-1006,6/20/2024,32.7971484,-79.95872899999999,{9455109105156081504548}
Albuquerque-Bernalillo County Library,501 Copper Ave NW Albuquerque NM 87102-3129,6/20/2024,35.0860854,-106.6531705,{9455109105156081504579}
Johnson County Library,PO Box 2933 Shawnee Mission KS 66201-1333,6/20/2024,39.02,-94.67,{9455109105156081504302}
Loyola University Chicago,1032 W Sheridan Rd Chicago IL 60660-1537,6/20/2024,41.9986438,-87.657844,{9455109105156081503817}
Vassar College Libraries,"124 Raymond Ave, # 20 Poughkeepsie NY 12604-0020",6/20/2024,41.6860506,-73.8974678,{9455109105156081503770}
Chicago Public Library,"400 S State St, # 5N-6 Chicago IL 60605-1216",6/20/2024,41.876515,-87.62823999999999,{9455109105156081503619}
Amherst College Library,61 Quadrangle Dr Amherst MA 01002-5004,6/20/2024,42.3718301,-72.5169879,{9455109105156081502629}
CALIFORNIA INSTITUTE OF INTEGRAL STUDIES,1453 Mission St San Francisco CA 94103-2557,6/20/2024,37.7747104,-122.4164295,{9455109105156081502308}
Taylor University,236 W Reade Ave Upland IN 46989-1002,6/20/2024,40.4542622,-85.4961156,{9455109105156081501820}
Lewistown Public Library,701 W Main St Lewistown MT 59457-2501,6/20/2024,47.062282,-109.4302504,{9455109105156081501639}
High Plains Library District,2650 W 29th St Greeley CO 80631-8504,6/20/2024,40.3903306,-104.724283,{9455109105156081501219}
Portland Public Library,5 Monument Sq Portland ME 04101-4072,6/20/2024,43.6575883,-70.2591564,{9455109105156081500649}
Madison Public Library,201 W Mifflin St Madison WI 53703-2597,6/20/2024,43.073349,-89.38744419999999,{9455109105156081500380}
Texarkana Public Library,600 W 3rd St Texarkana TX 75501-5054,6/20/2024,33.4205775,-94.0488682,{9455109105156081499851}
Pima County Public Library,101 N Stone Ave Tucson AZ 85701-1501,6/20/2024,32.2234554,-110.9721493,{9455109105156081494788}
Grays Harbor College,1620 Edward P Smith Dr Aberdeen WA 98520-7599,6/20/2024,46.9540502,-123.8026997,{9455109105156081493156}
Georgetown University,37th & O Sts NW Box 571174 Washington DC 20057-0001,6/20/2024,0,0,{9455109105156081492869}
San Jose Public Library,150 E San Fernando St San Jose CA 95112-3580,6/21/2024,37.3354953,-121.8850749,{9455109105156081680181}
Rockford Carnegie Library,162 S Main St Rockford OH 45882-9260,6/21/2024,40.6909187,-84.6460654,{9455109105156081675590}
Tecumseh State Corr Institution Library,2725 N Highway 50 Tecumseh NE 68450-9589,6/21/2024,40.3667541,-96.19578639999999,{9455109105156081675095}
Southern Wesleyan University,PO Box 1020 Central SC 29630-1020,6/21/2024,34.7242749,-82.7812526,{9455109105156081674784}
Dutchess Community College Library,53 Pendell Rd Poughkeepsie NY 12601-1595,6/21/2024,41.7248131,-73.905093,{9455109105156579126665}
Whitman County Library,102 S Main St Colfax WA 99111-1863,6/21/2024,46.8806975,-117.365026,{9455109105156081654342}
Lansing Public Library,2750 Indiana Ave Lansing IL 60438-2297,6/21/2024,41.5660387,-87.5497062,{9455109105156579089953}
Edwardsville Public Library,112 S Kansas St Edwardsville IL 62025-1708,6/21/2024,38.8111389,-89.9538547,{9455109105156579089731}
University of Notre Dame,118 Hesburgh Library Juniper Road Notre Dame IN 46556-5629,6/21/2024,41.7137558,-86.2357464,{9455109105156579089465}
Marshall Public Library,113 S Garfield Ave Pocatello ID 83204-3235,6/21/2024,42.86029569999999,-112.4525839,{9455109105156081653413}
LeRoy Collins Leon County Public Library,200 W Park Ave Tallahassee FL 32301-7716,6/21/2024,30.4426487,-84.2837787,{9455109105156579088277}
Shreve Memorial Library,885 Bert Koun Loop Shreveport LA 71118-3463,6/21/2024,32.4000478,-93.77936419999999,{9455109105156081653208}
Pollard Memorial Library - ILL,401 Merrimack St Lowell MA 01852-5907,6/21/2024,42.6466147,-71.3148868,{9455109105156579087096}
Eastern New Mexico University,"1500 S Avenue K, # 32 Portales NM 88130-7401",6/21/2024,34.175521,-103.3481701,{9455109105156081653093}
Fordham University Library,441 E Fordham Rd Bronx NY 10458-9993,6/21/2024,40.8620281,-73.8854257,{9455109105156579086020}
Palatine Public Library District,700 N North Ct Palatine IL 60067-8159,6/21/2024,42.12216180000001,-88.0367672,{9455109105156579085337}
Richland Public Library,955 Northgate Dr Richland WA 99352-3505,6/21/2024,46.2799712,-119.2790808,{9455109105156081652331}
Whatcom Community College,237 W Kellogg Rd Bellingham WA 98226-8003,6/21/2024,48.7947551,-122.4925862,{9455109105156579084460}
Twin Falls Public Library,201 4th Ave E Twin Falls ID 83301-6313,6/21/2024,42.5571859,-114.4652699,{9455109105156081652218}
San Jacinto College,8060 Spencer Hwy Pasadena TX 77505-5903,6/21/2024,29.6575408,-95.1140079,{9455109105156579083708}
Crawford County Library System,1409 Main St Van Buren AR 72956-4558,6/21/2024,35.4373094,-94.3440208,{9455109105156579083401}
Northern Arizona University,1001 S Knoles Dr Bldg 28 Flagstaff AZ 86011-6022,6/21/2024,35.1897848,-111.6575379,{9455109105156081651532}
Kern County Library,701 Truxtun Ave Bakersfield CA 93301-4800,6/21/2024,35.3727823,-119.009894,{9455109105156579082596}
UAB Mervyn H,1720 2nd Ave S Birmingham AL 35294-0004,6/21/2024,33.5095428,-86.80669520000001,{9455109105156579082459}
"California State University, Stanislaus",1 University Cir Turlock CA 95382-0299,6/21/2024,37.5237782,-120.8558907,{9455109105156081650511}
South Texas College Library,3201 Pecan Blvd McAllen TX 78501-6661,6/21/2024,26.2169213,-98.2545035,{9455109105156579081858}
Buffalo & Erie County Public Library,1 Lafayette Sq Buffalo NY 14203-1887,6/21/2024,42.88527380000001,-78.8720883,{9455109105156081649690}
Finger Lakes Library System,1300 Dryden Rd Ithaca NY 14850-8734,6/21/2024,42.46784760000001,-76.410843,{9455109105156081649423}
Concordia University,7400 Augusta St River Forest IL 60305-1402,6/21/2024,41.89835799999999,-87.8109497,{9455109105156081678881}
Lycoming College IDS 147,700 College Place Williamsport PA 17701,6/21/2024,41.2411897,-77.00107860000001,{9455109105156579129833}
Grants Public Library,1101 N First St Grants NM 87020-2809,6/21/2024,35.1600852,-107.8429297,{9455109105156579129253}
Windsor Public Library,43 State St West Windsor VT 05089-1213,6/21/2024,43.4803243,-72.388502,{9455109105156081677129}
Bryant University,1150 Douglas Pike Smithfield RI 02917-1291,6/21/2024,41.9254979,-71.53617179999999,{9455109105156579128300}
Yakima Valley Libraries,102 N 3rd St Yakima WA 98901-2759,6/21/2024,46.6044395,-120.5043332,{9455109105156579080400}
University of Texas Permian Basin,4901 E Univ Blvd Odessa TX 79762-0001,6/21/2024,31.8881843,-102.3287525,{9455109105156579080660}
Albany Public Library,2450 14th Ave SE Albany OR 97322-6880,6/21/2024,44.6282354,-123.0750656,{9455109105156081647771}
New York Public Library,"11 W 40th St, Frnt South Court Mezzanine New York NY 10018-2668",6/21/2024,40.7526601,-73.982693,{9455109105156081647382}
Johnson County Library,PO Box 2933 Shawnee Mission KS 66201-1333,6/21/2024,39.02,-94.67,{9455109105156081646552}
Elkhart Public Library,300 S 2nd St Elkhart IN 46516-3109,6/21/2024,41.684621,-85.9733674,{9455109105156081645838}
Enoch Pratt Free Library,400 Cathedral St Baltimore MD 21201-4484,6/21/2024,39.2945197,-76.6172636,{9455109105156081645319}
Cobb County Public Library System,266 Roswell St SE Marietta GA 30060-2004,6/21/2024,33.9499427,-84.54401659999999,{9455109105156081645074}
Newton Free Library,330 Homer St Newton MA 02459-1429,6/21/2024,42.3359515,-71.2078677,{9455109105156579079381}
Montgomery Cnty-Norristown Pub Library,1001 Powell St Norristown PA 19401-3817,6/21/2024,40.12192,-75.34004039999999,{9455109105156579079008}
Phillips County Library,PO Box 840 10 S 4th Street East Malta MT 59538-0840,6/21/2024,48.3561004,-107.8742908,{9455109105156081679253}
Binghamton University Libraries,4400 Vestal Pkwy E Binghamton NY 13902-4400,6/21/2024,42.0874939,-75.96586889999999,{9455109105156579078643}
Farmington Community Library,32737 W 12 Mile Rd Farmington Hills MI 48334-3302,6/21/2024,42.4979844,-83.3709049,{9455109105156579077967}
Siuslaw Public Library,1460 9th St Florence OR 97439-9427,6/21/2024,43.97438090000001,-124.1054076,{9455109105156081640727}
Phoenix College,1202 W Thomas Rd Phoenix AZ 85013-4234,6/21/2024,33.4831749,-112.0883592,{9455109105156579077295}
Washington County Library System,1080 W Clydesdale Dr Fayetteville AR 72701-8211,6/21/2024,36.03457909999999,-94.1758648,{9455109105156579077226}
San Antonio Public Library,600 Soledad St San Antonio TX 78205-1200,6/21/2024,29.4323938,-98.4928284,{9455109105156579076717}
San Juan Island Library,1010 Guard St Friday Harbor WA 98250-9240,6/21/2024,48.5366242,-123.030387,{9455109105156579078735}
Winnefox Library System,106 Washington Ave Oshkosh WI 54901-4933,6/21/2024,44.0181164,-88.5358806,{9455109105156579076861}
Columbia County Rural Library District,PO Box 74 Dayton WA 99328-0074,6/21/2024,46.3237525,-117.9724367,{9455109105156579076199}
San Diego County Library,"5560 Overland Ave, Ste 110 San Diego CA 92123-1204",6/21/2024,32.83468610000001,-117.1307742,{9455109105156579075819}
Whitefish Community Library,9 Spokane Ave Whitefish MT 59937-2551,6/21/2024,48.4127753,-114.3348196,{9455109105156579075635}
Montana State University - Bozeman,PO Box 173320 Bozeman MT 59717-3320,6/21/2024,45.6603986,-111.0451818,{9455109105156579075161}
Queens Library,8911 Merrick Blvd Jamaica NY 11432-5242,6/21/2024,40.7077706,-73.79511339999999,{9455109105156579074584}
